Especie	Nombre común	Incorporación al CAA	Hábito	Distribución
Euterpe edulis	palmito	SI	palmera	MS
Fuchsia magellanica	chilco, aljaba	NO	arbusto (perenne)	CU, NQ, RN, SC, TF
Gaultheria mucronata	chaura	NO	arbusto (perenne)	CU, NQ, RN, SC, TF
Gaultheria poeppigii	chaura	NO	arbusto (perenne)	CU, NQ, RN, SC
Geoffroea decorticans	chañar	EN PROCESO	árbol (perenne)	BA, CH, CM, CR, CS, ER, FS, JJ, LP, LR, MZ, RN, SE, SF, SJ, SL, ST, TC
Geoffroea spinosa	manduvirá/maní de los indios	NO	árbol (perenne)	CH, CS, FS, SF, ST
Jacaratia spinosa	jacaratia	EN PROCESO	árbol (perenne)	CS, MS
Luma apiculata	arrayán	NO	arbusto o árbol (perenne)	CH, NQ, RN
Maclura tinctoria	mora amarilla/palo amarillo	NO	árbol (perenne)	CH, CS, FS, JJ, MS, ST
Melicoccus lepidopetalus	coquito de San Juan/Ibaá-poo	NO	árbol (perenne)	FS, MS
Myrciantes mato            	alpa mato, horco mato, mato colorado 	NO	árbol (perenne)	CM, JJ, ST, TC
Myrcianthes pungens              	guabiyú, mato blanco                           	EN PROCESO	árbol (perenne)	CH, CM, CS, ER, FS, JJ, MS, SF, ST, TC
Opuntia spp.                     	tuna                                           	SI	arbusto suculento               	BA, CH, CM, CR, ER, FS, LP, LR, MZ, NQ, RN, SE, SF, SJ, SL, ST, TC
Passiflora edulis                	maracuyá o pasionaria	SI	liana (perenne)             	CS, MS, ST
Plinia rivularis	ibaporoití, guaporetí	NO	árbol (perenne)                 	CS, ER, MS
Plinia peruviana	yaboticaba, jabuticaba                         	EN PROCESO	árbol (perenne)                 	MS
Prosopis alba 	algarrobo blanco                               	SI	árbol (perenne)                 	BA, CH, CR, CS, ER, FS, JJ, SE, SF, SL, ST
Prosopis alpataco	alpataco	NO	árbol (perenne)                 	BA, CU, LP, LR, MZ, NQ, RN, SJ
Prosopis chilensis	algarrobo chileno                          	SI	árbol (perenne)                 	CM, CR, LR, MZ, SE, SJ, SL, ST, TC
Prosopis flexuosa                	algarrobo dulce                                	SI	árbol (perenne)                 	BA, CM, CR, CU, LP, LR, MZ, NQ, RN, SJ, SL, ST, TC
Prosopis nigra                   	algarrobo negro                                	SI	árbol (perenne)                 	BA, CM, CH, CR, CS, ER, FS, JJ, LR, SE, SF, SJ, SL, ST, TC
Prosopis ruscifolia              	vinal                                          	NO	árbol (perenne)                 	CH, CR, FS, SE, SF, ST, TC
Psidium guajava                  	guayaba                                        	SI	arbusto o árbol (perenne)       	CH, CS, FS, JJ, MS, ST, TC
Rheedia brasiliensis             	madroño, brea huayo, pacurí	NO	árbol (perenne)                 	CH, CS, FR, MS
Ribes magellanicum               	parrilla                                       	SI	arbusto (perenne)	CH, NQ, RN, SC, TF
Ribes cucullatum                 	parrillita/zarzaparrilla                     	NO	arbusto (perenne)	CU, MZ, NQ, RN, SC, TF
Rubus geoides                    	frutilla de la cordillera                      	NO	hierba (perenne)	NQ, RN, SC, TF
Ruprechtia apetala               	sacha-higuera/manzano del campo	NO	arbusto o árbol (perenne)       	CH, CM, CR, FS, JJ, LR, SE, SF, SJ, SL, ST, TC
Schinus molle                    	aguaribay                                      	NO	árbol (perenne)                 	BA, CR, CS, ER, JJ, MS, SF, ST
Sambucus australis               	sauco	SI	arbusto o arbolito (perenne)	BA, CH, CR, CS, ER, FS, MS, SF
Sambucus nigra ssp. peruviana    	sauco                                          	SI	árbol o arbusto (perenne)	CM, JJ, LR, NQ, ST, TC
Sarcomphalus mistol              	mistol                                         	SI	árbol (perenne)                 	CH, CM, CR, CS, ER, FS, JJ, LR, SE, SF, SJ, SL, ST, TC
Sarcotoxicum salicifolium        	sacha-sandía                                   	NO	arbusto o arbolito (perenne)    	CH, FS, JJ, SE, ST
Solanum betaceum                 	tomate de árbol, chilto                        	SI	árbol o arbusto (perenne)       	JJ, ST, TC
Syagrus romanzoffiana            	pindó, coquito, jerivá                         	EN PROCESO	palmera                        	BA, CH, CS, ER, FS, MZ, MS, SF, SJ, SL
Ugni molinae                     	murta                                          	NO	arbusto (perenne)	CU, NQ, RN
Ximenia americana                	pata/albaricoque                             	NO	arbusto o árbol (perenne)	CH, CM, CS,FS, JJ, LR, MZ, SE, SF, SJ, SL, ST, TC
